opportunity_id,account,sales_agent,manager,regional_office,product,deal_stage,engage_date,close_value,priority_score,priority_label,top_positive_reason_1,top_positive_reason_2,top_risk_reason_1,top_risk_reason_2,recommended_action
GQDS81G1,,Corliss Cosme,Cara Losch,East,GTX Plus Pro,Engaging,2017-11-30,,46.7401607837794,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
OMCFUDOU,,James Ascencio,Summer Sewald,West,GTXPro,Engaging,2017-10-31,,46.71788124190101,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
OYH46MQB,,Corliss Cosme,Cara Losch,East,GTX Basic,Engaging,2017-10-25,,46.65366492466291,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
GL2FM1RM,,Rosalina Dieter,Celia Rouche,West,GTX Basic,Engaging,2017-10-22,,46.63361774270367,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
C2FSIMZP,,Corliss Cosme,Cara Losch,East,GTXPro,Engaging,2017-11-07,,46.629431305654386,Foco Agora,bom histórico do vendedor,estágio avançado no funil,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
I5VHXAWW,Bluth Company,Boris Faz,Rocco Neubert,East,GTX Plus Pro,Engaging,2017-11-06,,46.60783110391534,Foco Agora,bom histórico do vendedor,estágio avançado no funil,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
7XRWWM0X,Scotfind,Kami Bicknell,Summer Sewald,West,MG Special,Engaging,2017-11-15,,46.59772035003836,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
W4XB23IP,,Boris Faz,Rocco Neubert,East,GTX Basic,Engaging,2017-11-09,,46.52133524479885,Foco Agora,bom histórico do vendedor,estágio avançado no funil,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
P5C842B5,,Kami Bicknell,Summer Sewald,West,GTX Plus Pro,Engaging,2017-10-28,,46.515932250579986,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
NGTVHTFH,,Boris Faz,Rocco Neubert,East,GTXPro,Engaging,2017-12-19,,46.49710162579032,Foco Agora,bom histórico do vendedor,estágio avançado no funil,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
PV3TH2FF,,Vicki Laflamme,Celia Rouche,West,MG Special,Engaging,2017-11-23,,46.44874477175273,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
RYWETTBK,Fasehatice,Kami Bicknell,Summer Sewald,West,GTX Basic,Engaging,2017-10-20,,46.429436391463504,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
E1LFK6E3,,Kami Bicknell,Summer Sewald,West,GTX Basic,Engaging,2017-11-03,,46.429436391463504,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
LC93MVYP,,Kami Bicknell,Summer Sewald,West,GTX Basic,Engaging,2017-12-01,,46.429436391463504,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
QD7MU7DD,,Rosie Papadopoulos,Cara Losch,East,GTXPro,Engaging,2017-11-05,,46.42155660790275,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
2DY9U1V7,Konex,Rosie Papadopoulos,Cara Losch,East,GTXPro,Engaging,2017-10-20,,46.42155660790275,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
4O3EPWFR,,Corliss Cosme,Cara Losch,East,GTX Plus Basic,Engaging,2017-10-12,,46.41556100983449,Foco Agora,bom histórico do vendedor,estágio avançado no funil,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
O1SCOU11,,Elease Gluck,Celia Rouche,West,MG Special,Engaging,2017-10-31,,46.409405308782134,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
DB801ISB,,Elease Gluck,Celia Rouche,West,MG Special,Engaging,2017-12-22,,46.409405308782134,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
OFC7ZTU8,,Kami Bicknell,Summer Sewald,West,GTXPro,Engaging,2017-10-17,,46.40520277245497,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
BZGJ44FH,,Kami Bicknell,Summer Sewald,West,GTXPro,Engaging,2017-10-19,,46.40520277245497,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
DYYJW46L,,Vicki Laflamme,Celia Rouche,West,GTX Plus Pro,Engaging,2017-10-14,,46.36695667229436,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
X7MN9ROG,,Vicki Laflamme,Celia Rouche,West,GTX Plus Pro,Engaging,2017-10-23,,46.36695667229436,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
4ZQTMS3Z,Kan-code,Violet Mclelland,Cara Losch,East,MG Special,Engaging,2017-11-23,,46.36399924864719,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
854QZNWK,,Violet Mclelland,Cara Losch,East,MG Special,Engaging,2017-11-01,,46.36399924864719,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
07GUKIG3,,Violet Mclelland,Cara Losch,East,MG Special,Engaging,2017-12-05,,46.36399924864719,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
1BW8S7JD,,Violet Mclelland,Cara Losch,East,MG Special,Engaging,2017-11-06,,46.36399924864719,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
T6MPH7JC,,Violet Mclelland,Cara Losch,East,MG Special,Engaging,2017-12-17,,46.36399924864719,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
PQ84ANKD,,Violet Mclelland,Cara Losch,East,MG Special,Engaging,2017-11-20,,46.36399924864719,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
31IV2B9O,,Vicki Laflamme,Celia Rouche,West,GTX Basic,Engaging,2017-10-26,,46.28046081317787,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
6JBM1ZKO,,Vicki Laflamme,Celia Rouche,West,GTXPro,Engaging,2017-11-09,,46.25622719416934,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
JJGRAQ2K,Rangreen,Kary Hendrixson,Summer Sewald,West,GTX Plus Pro,Engaging,2017-10-23,,46.19942654381967,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,região com baixa conversão histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
4ZKFSG5F,,Violet Mclelland,Cara Losch,East,GTX Basic,Engaging,2017-10-16,,46.19571529007233,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
QCBO7C6E,,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Engaging,2017-10-13,,46.19133247663507,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
L9EVLHSJ,,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Engaging,2017-10-08,,46.19133247663507,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
Y6NI5EBV,,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Engaging,2017-10-17,,46.19133247663507,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
0CR37ETK,,Corliss Cosme,Cara Losch,East,MG Advanced,Engaging,2017-11-05,,46.14568097992096,Foco Agora,bom histórico do vendedor,estágio avançado no funil,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
QDBJOE9M,,Zane Levy,Summer Sewald,West,MG Special,Engaging,2017-10-08,,46.140767453937386,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do vendedor abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
OHOWVHYX,Zoomit,Rosalina Dieter,Celia Rouche,West,MG Advanced,Engaging,2017-10-11,,46.12563379796172,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,produto com baixa tração histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
J9PCNCUP,Golddex,Kary Hendrixson,Summer Sewald,West,GTX Basic,Engaging,2017-11-06,,46.11293068470319,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
7EHJYKWE,Xx-holding,Kary Hendrixson,Summer Sewald,West,GTX Basic,Engaging,2017-10-28,,46.11293068470319,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
ORYORRQV,Hottechi,Kary Hendrixson,Summer Sewald,West,GTX Basic,Engaging,2017-10-13,,46.11293068470319,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
D55HTKRU,Newex,Kary Hendrixson,Summer Sewald,West,GTXPro,Engaging,2017-11-24,,46.08869706569465,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
SQ71BWHG,Zencorporation,Kary Hendrixson,Summer Sewald,West,GTXPro,Engaging,2017-11-04,,46.08869706569465,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
RTWE19SU,Conecom,Kary Hendrixson,Summer Sewald,West,GTXPro,Engaging,2017-12-17,,46.08869706569465,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,região com baixa conversão histórica,produto com baixa tração histórica,avançar para o próximo passo hoje
FZWU2I30,The New York Inquirer,Zane Levy,Summer Sewald,West,GTX Plus Pro,Engaging,2017-12-10,,46.05897935447902,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do vendedor abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
BREOLQD9,,Boris Faz,Rocco Neubert,East,MG Advanced,Engaging,2017-11-16,,46.0133513000569,Foco Agora,bom histórico do vendedor,estágio avançado no funil,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
IQR162ZT,,Elease Gluck,Celia Rouche,West,GTX Plus Basic,Engaging,2017-12-13,,46.003017435378844,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,produto com baixa tração histórica,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
IBB0VGUN,,Cassey Cress,Rocco Neubert,East,MG Special,Engaging,2017-11-05,,45.977426280227434,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
L8XNQONA,Inity,Zane Levy,Summer Sewald,West,GTX Basic,Engaging,2017-11-27,,45.97248349536253,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,histórico do vendedor abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
RN67OVFW,,Zane Levy,Summer Sewald,West,GTX Basic,Engaging,2017-11-04,,45.97248349536253,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,histórico do vendedor abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
J1G2SZKD,Goodsilron,Zane Levy,Summer Sewald,West,GTX Basic,Engaging,2017-11-22,,45.97248349536253,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,histórico do vendedor abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
F761DF0M,Silis,Zane Levy,Summer Sewald,West,GTX Basic,Engaging,2017-10-11,,45.97248349536253,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,histórico do vendedor abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
J5BCAQ1Z,Bioplex,Zane Levy,Summer Sewald,West,GTX Basic,Engaging,2017-12-15,,45.97248349536253,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,histórico do vendedor abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
5TCGN3GX,,Violet Mclelland,Cara Losch,East,GTX Plus Basic,Engaging,2017-10-16,,45.95761137524391,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
4D0K5T7T,Gogozoom,Zane Levy,Summer Sewald,West,GTXPro,Engaging,2017-10-26,,45.948249876354005,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,histórico do vendedor abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
RDHTQLNI,,Cassey Cress,Rocco Neubert,East,GTX Plus Pro,Engaging,2017-12-21,,45.89563818076907,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
VL8YNHD7,,Kary Hendrixson,Summer Sewald,West,GTX Plus Basic,Engaging,2017-12-08,,45.87482676987476,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
YMWG4Z3S,Warephase,Kary Hendrixson,Summer Sewald,West,GTX Plus Basic,Engaging,2017-11-23,,45.87482676987476,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
WJO52I18,Inity,Cassey Cress,Rocco Neubert,East,GTXPro,Engaging,2017-11-04,,45.78490870264405,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
XSTGL252,Toughzap,Cassey Cress,Rocco Neubert,East,GTXPro,Engaging,2017-10-15,,45.78490870264405,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
JVF7HZMV,,Zane Levy,Summer Sewald,West,GTX Plus Basic,Engaging,2017-11-28,,45.73437958053411,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,histórico do vendedor abaixo do ideal,avançar para o próximo passo hoje
RS31U03Y,,Zane Levy,Summer Sewald,West,GTX Plus Basic,Engaging,2017-12-07,,45.73437958053411,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,histórico do vendedor abaixo do ideal,avançar para o próximo passo hoje
4S17VJ7O,,Kary Hendrixson,Summer Sewald,West,MG Advanced,Engaging,2017-10-19,,45.604946739961235,Foco Agora,estágio avançado no funil,manager com bom histórico de fechamento,produto com baixa tração histórica,região com baixa conversão histórica,avançar para o próximo passo hoje
J962I0KG,,Cassey Cress,Rocco Neubert,East,GTX Plus Basic,Engaging,2017-11-20,,45.57103840682416,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
PM2BF2KB,Xx-holding,Cassey Cress,Rocco Neubert,East,GTX Plus Basic,Engaging,2017-12-13,,45.57103840682416,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
MA56XGWR,Iselectrics,Daniell Hammack,Rocco Neubert,East,GTX Basic,Engaging,2017-11-05,,45.511234234697845,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
ZEYGDEBG,,Daniell Hammack,Rocco Neubert,East,GTXPro,Engaging,2017-10-09,,45.48700061568932,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,região com baixa conversão histórica,avançar para o próximo passo hoje
0N11U6L3,Acme Corporation,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,Engaging,2017-10-30,,45.27313031986941,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
NXXKM7C7,Cancity,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,Engaging,2017-11-14,,45.27313031986941,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
TOJ902PF,Bioholding,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,Engaging,2017-12-15,,45.27313031986941,Foco Agora,estágio avançado no funil,bom histórico do vendedor,histórico do manager abaixo do ideal,produto com baixa tração histórica,avançar para o próximo passo hoje
W72TPY7P,,Markita Hansen,Celia Rouche,West,MG Special,Engaging,2017-10-19,,45.16473710376151,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do vendedor abaixo do ideal,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
8SLDCS0F,,Markita Hansen,Celia Rouche,West,MG Special,Engaging,2017-10-11,,45.16473710376151,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do vendedor abaixo do ideal,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
O691ZXXH,,Markita Hansen,Celia Rouche,West,MG Special,Engaging,2017-10-08,,45.16473710376151,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do vendedor abaixo do ideal,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
B2FSFXKA,,Markita Hansen,Celia Rouche,West,MG Special,Engaging,2017-10-19,,45.16473710376151,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do vendedor abaixo do ideal,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
0HUWQWOJ,,Markita Hansen,Celia Rouche,West,MG Special,Engaging,2017-10-09,,45.16473710376151,Foco Agora,estágio avançado no funil,produto com bom desempenho histórico,histórico do vendedor abaixo do ideal,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
NGG8O0JX,,Markita Hansen,Celia Rouche,West,GTX Basic,Engaging,2017-10-13,,44.996453145186656,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,histórico do vendedor abaixo do ideal,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
N2249A7T,,Markita Hansen,Celia Rouche,West,GTXPro,Engaging,2017-11-02,,44.97221952617812,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,histórico do vendedor abaixo do ideal,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
ON821ADT,,Markita Hansen,Celia Rouche,West,GTXPro,Engaging,2017-11-04,,44.97221952617812,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,histórico do vendedor abaixo do ideal,histórico do manager abaixo do ideal,avançar para o próximo passo hoje
XSEG5T4H,Zoomit,Markita Hansen,Celia Rouche,West,GTX Plus Basic,Engaging,2017-11-03,,44.75834923035822,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,produto com baixa tração histórica,histórico do vendedor abaixo do ideal,avançar para o próximo passo hoje
K9KGXL2E,Lexiqvolax,Markita Hansen,Celia Rouche,West,MG Advanced,Engaging,2017-12-13,,44.488469200444705,Foco Agora,estágio avançado no funil,região com bom histórico de fechamento,produto com baixa tração histórica,histórico do vendedor abaixo do ideal,avançar para o próximo passo hoje
9BM1CGBV,Sumace,Cecily Lampkin,Dustin Brinkmann,Central,MG Special,Prospecting,,,40.15532606355866,Foco Agora,bom histórico do vendedor,produto com bom desempenho histórico,estágio inicial no funil,região com baixa conversão histórica,avançar para o próximo passo hoje
DS5HZHDA,Betatech,Cecily Lampkin,Dustin Brinkmann,Central,MG Special,Prospecting,,,40.15532606355866,Foco Agora,bom histórico do vendedor,produto com bom desempenho histórico,estágio inicial no funil,região com baixa conversão histórica,avançar para o próximo passo hoje
8NI8O26G,Goodsilron,Cecily Lampkin,Dustin Brinkmann,Central,MG Special,Prospecting,,,40.15532606355866,Foco Agora,bom histórico do vendedor,produto com bom desempenho histórico,estágio inicial no funil,região com baixa conversão histórica,avançar para o próximo passo hoje
TLZGG7G5,Conecom,Cecily Lampkin,Dustin Brinkmann,Central,MG Special,Prospecting,,,40.15532606355866,Foco Agora,bom histórico do vendedor,produto com bom desempenho histórico,estágio inicial no funil,região com baixa conversão histórica,avançar para o próximo passo hoje
GSBUIL1E,,Cecily Lampkin,Dustin Brinkmann,Central,MG Special,Prospecting,,,40.15532606355866,Foco Agora,bom histórico do vendedor,produto com bom desempenho histórico,estágio inicial no funil,região com baixa conversão histórica,avançar para o próximo passo hoje
9F9NDO41,,Cecily Lampkin,Dustin Brinkmann,Central,MG Special,Prospecting,,,40.15532606355866,Foco Agora,bom histórico do vendedor,produto com bom desempenho histórico,estágio inicial no funil,região com baixa conversão histórica,avançar para o próximo passo hoje
E54FFQBM,,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Prospecting,,,40.11365939689199,Foco Agora,bom histórico do vendedor,produto com bom desempenho histórico,estágio inicial no funil,região com baixa conversão histórica,avançar para o próximo passo hoje
